definition.description,definition.solution,severity,asset.display_ipv4_address,port,protocol,asset.host_name,definition.cve
"Blind SQL injection in Nginx (2.0.0) on CentOS 7 (CVE-2022-50600). The 'ref' query parameter is not parameterized in /opt/app/, enabling an attacker to read sensitive memory contents. Database: SQLite; port 1433/TCP.",Configure Content-Security-Policy in /var/www/html/ to restrict script sources. Add X-Content-Type-Options: nosniff.,7.4,10.0.186.118,443,TCP,nas-10-0-186-118,CVE-2022-13534
"CVE-2021-52194: Missing Content-Security-Policy header on Nginx 3.1.2 (Ubuntu 18.04 LTS). Without CSP, an attacker can crash the service and trigger a denial of service through improper bounds checking. Web root: /var/log/; port 8080/TCP.",Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,4.1,172.16.1.40,443,TCP,web-172-16-1-40,CVE-2021-13149
Expired X.509 certificate detected (CVE-2023-63961) on Fedora 36. The certificate for mail.corp signed by Let has expired. Service: Lighttpd on port 8443/TCP.,Apply the kernel patch provided in CVE-2022-51321 bulletin. Reboot the system after the update.,5.4,192.168.10.54,443,TCP,app-192-168-10-54,CVE-2023-96776
"NSS version 3.0.0 on Ubuntu 18.04 LTS is affected by CVE-2022-33647. The library implements deprecated TLS 1.1 ciphersuites, allowing an attacker to forge authentication tokens through improper bounds checking. Affected path: /usr/share/snmp/. Port: 636/TCP.",Generate a new CSR and obtain a renewed certificate from s Encrypt. Update the certificate at /etc/nginx/.,8.5,10.1.217.48,995,TCP,ws-10-1-217-48,
"Outdated NSS (1.1.0) detected on Oracle Linux 8 (CVE-2022-49535). The TLS handshake implementation lacks protection against BEAST/POODLE/CRIME attacks, allowing a remote adversary to inject malicious payloads into database queries. Port 443/TCP; config at /var/www/html/.",Generate a new CSR and obtain a renewed certificate from Comodo. Update the certificate at /etc/ssh/.,8.1,192.168.2.42,443,TCP,dc-192-168-2-42,CVE-2022-53357
"Deserialization RCE in Jetty (2.0.0) on Alpine Linux 3.17 (CVE-2022-21727). Untrusted user data is deserialized without validation at /home/user/.ssh/, allowing an attacker to inject malicious payloads into database queries. Port: 443/TCP.",Replace end-of-life sudo (9.0.0) with the latest maintained version. Update lock files.,9.8,10.2.32.169,9090,TCP,dc-10-2-32-169,CVE-2022-22735
"Stack-based buffer overflow in FreeBSD kernel (version 4.0.0) on Windows 11 Pro — CVE-2021-24945. The vulnerability exists in the copy_from_user call at /etc/ssh/, enabling an attacker to execute arbitrary code with elevated privileges.","Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",9.5,192.168.10.103,445,TCP,app-192-168-10-103,CVE-2021-77488
CVE-2022-78750: Sudo policy misconfiguration on Debian 10 (Buster) (version 2.3.1). An unprivileged user can modify or delete critical system files via the sudo NOPASSWD rule at C:\inetpub\wwwroot\. Port: 3389/TCP.,Review and implement all mitigations specified in the vendor bulletin. Update Tomcat to the patched release (2.2.0).,7.3,10.0.149.123,22,TCP,nas-10-0-149-123,
CVE-2023-76951: Unpatched python3-lib 7.1.0 on Fedora 36. Multiple known CVEs affect this version. An attacker can forge authentication tokens by sending a malformed TLS ClientHello. Port: 443/TCP; installed at C:\Windows\System32\.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,7.2,10.1.151.109,443,TCP,srv-10-1-151-109,
Weak cipher suite enabled on Ubuntu 18.04 LTS running OpenSSL 4.1.3 (CVE-2020-44922). The CBC cipher allows an attacker to forge authentication tokens by sending a malformed TLS ClientHello. Port: 8080/TCP; config: /usr/local/bin/.,Apply HTML entity encoding to user inputs before rendering in templates. Use 'htmlspecialchars()' or equivalent in the application at /usr/local/bin/.,5.1,192.168.2.216,8080,TCP,nas-192-168-2-216,CVE-2020-90753
Weak cipher suite enabled on Debian 10 (Buster) running GnuTLS 1.3.7 (CVE-2020-52712). The NULL cipher allows an attacker to enumerate internal network hosts through a specially crafted packet. Port: 8080/TCP; config: /var/log/.,Update Nginx to version 3.0.0 which includes SQLi fixes. Enable WAF rules for SQL injection patterns.,5.4,10.1.11.170,8080,TCP,web-10-1-11-170,
FreeBSD kernel 8.0.3 on Windows 10 Enterprise is affected by a local privilege escalation (CVE-2022-88410). A low-privileged attacker can forge authentication tokens by exploiting weak entropy in session token generation. Affected path: /var/lib/mysql/. Port: 445/TCP.,Review and implement all mitigations specified in the vendor bulletin. Update Tomcat to the patched release (2.2.0).,7.1,192.168.2.238,135,TCP,dc-192-168-2-238,CVE-2022-60328
"CVE-2019-54092: SNMP default community strings detected on Ubuntu 18.04 LTS. Device exposes MIB tree at /opt/app/ without requiring authentication, permitting an attacker to exfiltrate confidential data from the host by exploiting a use-after-free condition. Service: SNMPD 2.2.0; port 162/UDP.",Install OpenSSL >= 8.2.1 from the official repository. Recompile applications that statically link the library.,5.2,172.16.1.36,162,UDP,gw-172-16-1-36,CVE-2019-58487
"Outdated NSS (2.0.0) detected on Fedora 36 (CVE-2022-34672). The TLS handshake implementation lacks protection against BEAST/POODLE/CRIME attacks, allowing a remote adversary to modify or delete critical system files. Port 993/TCP; config at /var/log/.",Set SSLCipherSuite to HIGH:!aNULL:!MD5:!3DES in /etc/nginx/. Verify with 'nmap --script ssl-enum-ciphers'.,8.1,10.1.75.112,8443,TCP,db-10-1-75-112,CVE-2022-40162
"Stack-based buffer overflow in Windows NT kernel (version 1.3.7) on Windows 10 Enterprise — CVE-2021-16094. The vulnerability exists in the copy_from_user call at C:\Program Files\, enabling an attacker to inject malicious payloads into database queries.","Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",8.7,192.168.10.55,23,TCP,dc-192-168-10-55,
Expired X.509 certificate detected (CVE-2023-77489) on Debian 10 (Buster). The certificate for api.internal signed by DigiCert has expired. Service: Jetty on port 8443/TCP.,Apply the kernel patch provided in CVE-2022-84537 bulletin. Reboot the system after the update.,6.2,192.168.10.148,443,TCP,web-192-168-10-148,CVE-2023-85246
CVE-2022-99091: BoringSSL 1.2.3 on CentOS 8 Stream ships with a vulnerable TLS stack. An attacker by sending a malformed TLS ClientHello could bypass authentication controls. Binaries located at /etc/mysql/. Listening on port 993/TCP.,Generate a new CSR and obtain a renewed certificate from s Encrypt. Update the certificate at /etc/nginx/.,7.0,172.16.1.40,995,TCP,web-172-16-1-40,
"LibreSSL version 4.1.3 on SUSE Linux Enterprise 15 is affected by CVE-2022-28634. The library implements deprecated TLS 1.1 ciphersuites, allowing an attacker to enumerate internal network hosts via SQL metacharacter injection in the login form. Affected path: C:\Windows\System32\. Port: 993/TCP.",Set SSLCipherSuite to HIGH:!aNULL:!MD5:!3DES in /etc/nginx/. Verify with 'nmap --script ssl-enum-ciphers'.,8.1,10.0.172.168,8443,TCP,ws-10-0-172-168,
"LibreSSL version 8.0.3 on CentOS 8 Stream is affected by CVE-2022-29735. The library implements deprecated TLS 1.0 ciphersuites, allowing an attacker to gain root-level access to the system via a crafted HTTP request. Affected path: /etc/ssh/. Port: 995/TCP.","Change the SNMP community string from 'monitor' to a strong, random value. Restrict SNMP access by IP in /etc/ssh/snmpd.conf.",8.0,172.16.1.36,995,TCP,gw-172-16-1-36,CVE-2022-74722
CVE-2022-90828: LibreSSL 5.2.0 on Debian 10 (Buster) ships with a vulnerable TLS stack. An attacker by exploiting a use-after-free condition could perform man-in-the-middle attacks. Binaries located at /etc/ssl/certs/. Listening on port 993/TCP.,Set SSLCipherSuite to HIGH:!aNULL:!MD5:!3DES in /etc/nginx/. Verify with 'nmap --script ssl-enum-ciphers'.,7.4,172.16.0.230,8443,TCP,print-172-16-0-230,CVE-2022-13794
"Outdated LibreSSL (7.1.0) detected on Ubuntu 20.04 LTS (CVE-2022-62550). The TLS handshake implementation lacks protection against BEAST/POODLE/CRIME attacks, allowing a remote adversary to crash the service and trigger a denial of service. Port 993/TCP; config at /etc/mysql/.",Generate a new CSR and obtain a renewed certificate from s Encrypt. Update the certificate at /etc/nginx/.,7.6,10.1.75.112,8443,TCP,db-10-1-75-112,
End-of-life glibc (2.0.0) installed on Debian 11 (Bullseye) (CVE-2023-51976). No security patches are available for this version; an attacker can read sensitive memory contents. Binary path: C:\Windows\System32\.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,7.5,192.168.1.149,22,TCP,print-192-168-1-149,
CVE-2023-63282: Unpatched zlib 1.2.3 on Ubuntu 22.04 LTS. Multiple known CVEs affect this version. An attacker can crash the service and trigger a denial of service by exploiting weak entropy in session token generation. Port: 443/TCP; installed at /etc/apache2/.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,5.1,192.168.1.172,21,TCP,fw-192-168-1-172,CVE-2023-29435
Lighttpd 9.0.0 on Ubuntu 22.04 LTS is affected by a critical RCE vulnerability (CVE-2022-36033). An unauthenticated remote attacker can crash the service and trigger a denial of service through a specially crafted packet. Vulnerable endpoint: C:\Windows\System32\. Port: 22/TCP.,Apply the vendor patch for CVE-2022-22908 immediately. Upgrade Nginx to version 2.3.1 or later.,7.8,10.1.98.98,8080,TCP,print-10-1-98-98,CVE-2022-97747
"Jetty 8.2.1 on Fedora 37 is configured to accept weak cryptographic ciphers (CVE-2020-80275). Supported suites include NULL ciphers, allowing a MITM attacker to enumerate internal network hosts. Config file: /var/www/html/. Port: 8443/TCP.",Apply input validation and output encoding. Use ORM frameworks to prevent raw SQL injection. Review query at /var/www/html/.,5.7,192.168.10.55,8443,TCP,dc-192-168-10-55,CVE-2020-28953
"Deserialization RCE in Jetty (3.1.2) on SUSE Linux Enterprise 15 (CVE-2022-36568). Untrusted user data is deserialized without validation at /var/lib/mysql/, allowing an attacker to execute arbitrary code with elevated privileges. Port: 22/TCP.",Run 'pip install --upgrade libxml2' or 'npm audit fix' to update vulnerable dependencies at /var/www/html/.,8.6,172.16.0.31,8080,TCP,print-172-16-0-31,CVE-2022-46559
"Outdated LibreSSL (7.1.0) detected on Ubuntu 20.04 LTS (CVE-2022-62550). The TLS handshake implementation lacks protection against BEAST/POODLE/CRIME attacks, allowing a remote adversary to crash the service and trigger a denial of service. Port 993/TCP; config at /etc/mysql/.",Generate a new CSR and obtain a renewed certificate from s Encrypt. Update the certificate at /etc/nginx/.,7.2,10.1.19.242,993,TCP,db-10-1-19-242,
Expired X.509 certificate detected (CVE-2023-42483) on Windows Server 2016. The certificate for ldap.corp signed by Comodo has expired. Service: Nginx on port 443/TCP.,Use Windows Device Manager or 'modprobe' to update the Broadcom WiFi driver. Reboot after installing updated firmware.,5.1,172.16.0.72,8443,TCP,dc-172-16-0-72,CVE-2023-60246
python3-lib version 2.0.0 on Red Hat Enterprise Linux 9 is outdated and affected by CVE-2023-15956. The package contains a known vulnerability that allows an attacker to escalate privileges to SYSTEM or root via a crafted HTTP request. Package location: /home/user/.ssh/. Port: 21/TCP.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,6.6,192.168.2.197,80,TCP,fw-192-168-2-197,
"OpenSSL version 5.2.0 on Ubuntu 20.04 LTS is affected by CVE-2022-32018. The library implements deprecated TLS 1.1 ciphersuites, allowing an attacker to forge authentication tokens via SQL metacharacter injection in the login form. Affected path: /opt/app/. Port: 443/TCP.",Update Nginx config to disable SHA1 cipher suites. Use Mozilla SSL Configuration Generator recommendations.,6.9,192.168.1.17,995,TCP,fw-192-168-1-17,CVE-2022-25095
"HTTP Strict Transport Security (HSTS) not enabled on Fedora 37 (Apache httpd 2.0.0, CVE-2021-29401). Absence of HSTS allows protocol downgrade, enabling attackers to steal session tokens or credentials. Server config at /etc/mysql/; port 80/TCP.",Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,4.2,192.168.1.103,443,TCP,srv-192-168-1-103,CVE-2021-93317
CVE-2022-93558: Sudo policy misconfiguration on Red Hat Enterprise Linux 8 (version 3.0.0). An unprivileged user can execute arbitrary code with elevated privileges via the sudo NOPASSWD rule at /opt/app/. Port: 3389/TCP.,Remove unused software packages and disable associated xinetd services in C:\Program Files\.,7.3,192.168.1.68,3389,TCP,gw-192-168-1-68,CVE-2022-15014
CVE-2021-14170: FreeBSD kernel 4.1.3 on SUSE Linux Enterprise 15 is vulnerable to an integer overflow leading to a buffer overwrite. An attacker can steal session tokens or credentials via a heap buffer overflow in the DNS response handler. Kernel module path: /usr/local/bin/; exposed via port 23/TCP.,"Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",8.8,10.2.171.166,22,TCP,app-10-2-171-166,CVE-2021-94768
"Stack-based buffer overflow in Windows NT kernel (version 3.1.2) on Red Hat Enterprise Linux 8 — CVE-2021-80989. The vulnerability exists in the strncpy call at C:\Program Files\, enabling an attacker to execute arbitrary code with elevated privileges.","Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",9.8,10.1.225.63,22,TCP,fw-10-1-225-63,CVE-2021-89363
